lemma,count,distinct_hymns,upos_breakdown
hiraṇyaya,66,54,{'ADJ': 66}
e,66,59,{'VERB': 66}
sā,66,56,"{'ADJ': 41, 'VERB': 25}"
kṣatra,66,54,{'NOUN': 66}
napāt,66,55,{'NOUN': 66}
mī,66,61,{'VERB': 66}
jīv,66,48,{'VERB': 66}
sic,66,57,"{'VERB': 62, 'NOUN': 4}"
puruhūta,66,48,{'NOUN': 66}
bhid,66,55,"{'VERB': 60, 'NOUN': 1, 'ADJ': 5}"
atya,66,58,{'NOUN': 66}
nadī,66,59,{'NOUN': 66}
vahni,65,60,{'NOUN': 65}
kṣiti,65,63,{'NOUN': 65}
toka,65,62,{'NOUN': 65}
tvaṣṭṛ,65,58,{'NOUN': 65}
bādh,65,61,{'VERB': 65}
parā,65,49,{'ADV': 65}
śikṣ,65,59,{'VERB': 65}
upastha,65,58,{'NOUN': 65}
śyena,65,52,{'NOUN': 65}
parāvat,65,60,{'NOUN': 65}
vedhas,65,54,"{'NOUN': 62, 'ADJ': 3}"
tu,64,49,"{'CCONJ': 59, 'VERB': 5}"
uttara,64,34,"{'ADJ': 63, 'NOUN': 1}"
vatsa,64,47,{'NOUN': 64}
pṛthu,63,58,"{'ADJ': 62, 'NOUN': 1}"
sānu,63,53,{'NOUN': 63}
sū,63,47,"{'NOUN': 7, 'VERB': 56}"
sṛ,63,52,{'VERB': 63}
vāma,63,45,"{'ADJ': 52, 'NOUN': 11}"
manīṣā,63,59,{'NOUN': 63}
subhaga,62,50,{'ADJ': 62}
vardhay,62,54,{'VERB': 62}
kṣar,62,52,{'VERB': 62}
puras,62,58,{'ADV': 62}
vṛjana,62,57,{'NOUN': 62}
oṣadhī,62,47,{'NOUN': 62}
rocana,61,57,"{'NOUN': 60, 'ADJ': 1}"
atas,61,48,{'ADV': 61}
cakṣ,61,55,{'VERB': 61}
dāsa,61,51,"{'NOUN': 46, 'ADJ': 15}"
āhu,61,42,{'VERB': 61}
māday,61,53,{'VERB': 61}
vṛṣṭi,61,51,{'NOUN': 61}
vaiśvānara,61,20,"{'NOUN': 60, 'ADJ': 1}"
aṅga,60,47,"{'PART': 40, 'NOUN': 20}"
bhāga,60,47,{'NOUN': 60}
kṛṣṇa,60,48,"{'ADJ': 52, 'NOUN': 8}"
anna,60,46,{'NOUN': 60}
gaṇa,59,49,{'NOUN': 59}
adas,59,38,{'PRON': 59}
suṣṭuti,59,53,{'NOUN': 59}
tiras,59,49,{'ADV': 59}
durita,59,55,{'NOUN': 59}
sadana,59,54,"{'NOUN': 58, 'ADJ': 1}"
nābhi,59,48,{'NOUN': 59}
revat,58,47,{'ADJ': 58}
vedas,58,48,{'NOUN': 58}
yajatra,58,48,{'ADJ': 58}
tura,58,54,{'ADJ': 58}
purā,58,52,{'ADV': 58}
śā,58,47,{'VERB': 58}
svasṛ,58,48,{'NOUN': 58}
dama,57,45,{'NOUN': 57}
haviṣmat,57,53,{'ADJ': 57}
pṛṣṭha,57,55,{'NOUN': 57}
āji,57,45,"{'NOUN': 56, 'VERB': 1}"
tuvi,56,47,"{'ADJ': 55, 'NOUN': 1}"
kṛṣṭi,56,51,{'NOUN': 56}
pracetas,56,49,"{'ADJ': 53, 'NOUN': 3}"
dharman,56,48,{'NOUN': 56}
kaṇva,56,32,{'NOUN': 56}
śacī,56,46,{'NOUN': 56}
dhruva,56,38,{'ADJ': 56}
sākam,56,46,{'ADV': 56}
āyudha,56,48,{'NOUN': 56}
gātu,56,53,{'NOUN': 56}
mahiman,56,46,{'NOUN': 56}
dyumat,56,53,{'ADJ': 56}
dhīra,56,49,{'ADJ': 56}
ad,56,41,"{'VERB': 50, 'ADJ': 6}"
prayas,55,49,{'NOUN': 55}
iḍā,55,51,{'NOUN': 55}
marutvat,55,29,{'ADJ': 55}
nakir,55,45,{'ADV': 55}
dvi,55,45,{'NUM': 55}
vat,55,40,"{'ADV': 51, 'VERB': 4}"
dānu,55,49,"{'NOUN': 50, 'ADJ': 5}"
giri,55,50,"{'NOUN': 53, 'ADJ': 2}"
bhūmi,55,47,{'NOUN': 55}
pṛtanā,55,46,{'NOUN': 55}
adhvaryu,55,36,{'NOUN': 55}
grāvan,54,45,{'NOUN': 54}
jyeṣṭha,54,52,{'ADJ': 54}
dhāv,54,43,{'VERB': 54}
sama,54,22,{'PRON': 54}
vara,53,50,"{'ADJ': 5, 'NOUN': 48}"
guhā,53,46,{'ADV': 53}
dīrgha,53,49,{'ADJ': 53}
abhiṣṭi,53,44,{'NOUN': 53}
vraja,53,50,{'NOUN': 53}
mand,53,48,{'VERB': 53}
kāru,53,45,{'NOUN': 53}
dhṛ,53,45,{'VERB': 53}
ukthya,53,37,"{'NOUN': 1, 'ADJ': 52}"
kram,53,50,{'VERB': 53}
śās,53,36,"{'VERB': 43, 'NOUN': 10}"
śiva,53,50,"{'ADJ': 52, 'NOUN': 1}"
atri,53,38,{'NOUN': 53}
harivat,52,44,{'ADJ': 52}
pracch,52,37,{'VERB': 52}
pañcan,52,48,{'NUM': 52}
karman,52,48,{'NOUN': 52}
somya,52,46,{'ADJ': 52}
janman,52,42,{'NOUN': 52}
jāmi,52,48,"{'NOUN': 18, 'ADJ': 34}"
ṛṣva,52,44,{'ADJ': 52}
sīm,52,48,{'ADV': 52}
arvāñc,52,47,{'ADJ': 52}
krand,52,45,{'VERB': 52}
agha,52,39,"{'ADJ': 21, 'NOUN': 31}"
jinv,52,37,{'VERB': 52}
vasiṣṭha,52,35,"{'NOUN': 50, 'ADJ': 2}"
darśata,51,47,{'ADJ': 51}
dasra,51,35,"{'NOUN': 48, 'ADJ': 3}"
devay,51,40,{'VERB': 51}
tigma,51,46,{'ADJ': 51}
aktu,51,45,{'NOUN': 51}
vājasāti,51,46,{'NOUN': 51}
tveṣa,51,41,{'ADJ': 51}
jñā,51,45,"{'VERB': 47, 'NOUN': 1, 'ADJ': 3}"
puṣ,51,46,"{'VERB': 50, 'ADJ': 1}"
draviṇa,51,45,{'NOUN': 51}
dru,50,48,"{'VERB': 37, 'NOUN': 13}"
vājay,50,49,{'VERB': 50}
dakṣiṇā,50,32,"{'NOUN': 49, 'ADV': 1}"
catur,50,40,{'NUM': 50}
patnī,50,42,{'NOUN': 50}
paṇi,50,41,{'NOUN': 50}
kuvid,50,25,{'ADV': 50}
dhanvan,50,39,{'NOUN': 50}
śuc,50,43,"{'VERB': 47, 'NOUN': 3}"
suvita,50,45,"{'NOUN': 43, 'ADJ': 7}"
prath,50,47,{'VERB': 50}
kalaśa,50,31,{'NOUN': 50}
svid,50,37,"{'PART': 47, 'VERB': 3}"
bhuj,49,42,"{'ADJ': 10, 'VERB': 32, 'NOUN': 7}"
dasma,49,45,"{'NOUN': 44, 'ADJ': 5}"
prā,49,47,"{'ADJ': 20, 'VERB': 29}"
nahi,49,45,{'PART': 49}
cakṣus,49,39,{'NOUN': 49}
rasa,49,39,{'NOUN': 49}
rathī,49,47,"{'NOUN': 6, 'ADJ': 43}"
dveṣas,49,44,{'NOUN': 49}
narya,49,43,"{'ADJ': 40, 'NOUN': 9}"
kāvya,49,46,"{'NOUN': 46, 'ADJ': 3}"
suvṛkti,49,43,"{'NOUN': 44, 'ADJ': 5}"
ūdhas,49,46,{'NOUN': 49}
retas,49,38,{'NOUN': 49}
anīka,49,44,{'NOUN': 49}
sru,49,27,{'VERB': 49}
sahasrin,48,46,{'ADJ': 48}
īray,48,43,{'VERB': 48}
para,48,43,{'PRON': 48}
adabdha,48,38,{'ADJ': 48}
ubhaya,48,43,{'ADJ': 48}
aśvya,48,44,"{'ADJ': 29, 'NOUN': 19}"
niṣad,48,44,"{'VERB': 44, 'NOUN': 4}"
sadhastha,48,47,{'NOUN': 48}
samad,47,44,{'NOUN': 47}
dhṛṣṇu,47,45,{'ADJ': 47}
adrivat,47,39,{'ADJ': 47}
vartay,47,27,{'VERB': 47}
yuga,47,37,{'NOUN': 47}
tap,47,40,{'VERB': 47}
pauṃsya,46,42,{'NOUN': 46}
vadha,46,37,{'NOUN': 46}
āsad,46,39,{'VERB': 46}
ṛtu,46,25,{'NOUN': 46}
indrāvaruṇa,46,11,{'NOUN': 46}
pad,46,40,"{'NOUN': 30, 'VERB': 16}"
yajata,46,40,"{'ADJ': 45, 'NOUN': 1}"
jīra,46,46,"{'ADJ': 45, 'NOUN': 1}"
mahas,46,46,"{'NOUN': 41, 'ADJ': 5}"
dāna,46,36,{'NOUN': 46}
mahiṣa,46,39,"{'NOUN': 45, 'ADJ': 1}"
